serious_assault_result_injury, dang_negli_acts, assault_police, prop_dam_by_fire_expl, POSTCODE, theft_from_motor_veh, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, murder, other_acts_intend_cause_injury, serious_assault_not_result_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_hom_rel_offences, other_fraud_decep_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
0,0,0,0,"5431",0,0,0,0,2461,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"Apr 2019",2,0,0,0,0
0,0,0,0,"5433",0,0,1,0,2471,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",4,0,0,0,1
0,0,0,0,"5434",0,0,0,0,2479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,0,0,0
0,1,0,0,"5024",9,0,0,1,249,0,3,1,4,0,0,0,1,0,0,1,0,0,3,"Apr 2019",48,4,11,0,9
0,0,0,0,"5453",0,0,0,0,2507,0,1,0,1,0,0,0,0,0,0,1,0,0,0,"Apr 2019",7,0,1,0,3
0,0,0,0,"5460",0,0,0,0,2523,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5461",0,0,0,0,2535,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"Apr 2019",3,0,1,0,0
0,0,0,0,"5464",0,0,0,0,2550,0,0,0,0,0,0,1,0,0,1,0,1,0,0,"Apr 2019",3,0,0,0,0
0,0,0,0,"5470",0,0,0,0,2554,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5473",0,0,0,0,2562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,0,0,1
0,0,0,0,"5480",1,0,0,0,2569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5485",0,0,0,0,2586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
0,0,0,0,"5491",0,0,0,0,2599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
2,0,0,2,"5025",3,0,0,0,261,0,2,1,2,0,0,0,1,1,2,0,0,0,1,"Apr 2019",35,2,11,0,5
0,0,0,0,"5495",0,1,0,0,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",2,0,0,0,1
1,0,0,0,"5501",0,0,2,0,2621,0,2,0,1,0,0,0,1,0,1,1,0,0,0,"Apr 2019",18,1,6,0,2
0,0,0,0,"5502",1,0,0,0,2633,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Apr 2019",3,0,1,0,0
0,0,0,0,"5510",0,0,0,0,2640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",2,0,1,0,1
0,0,0,0,"5520",0,0,0,0,2646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
0,0,0,0,"5521",0,0,0,0,2654,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5522",0,0,0,0,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",3,1,1,0,1
0,0,0,0,"5523",0,0,1,0,2676,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"Apr 2019",6,1,0,0,2
3,2,3,0,"5540",1,0,1,1,2688,3,5,3,7,0,0,0,14,1,4,0,0,0,0,"Apr 2019",85,3,18,0,16
0,0,0,0,"5550",0,0,0,0,2700,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Apr 2019",6,0,4,0,1
0,0,0,1,"5554",1,0,1,0,2721,3,2,2,3,0,0,0,0,0,3,0,0,0,1,"Apr 2019",32,3,2,0,10
3,0,0,0,"5031",14,0,1,0,273,0,9,4,13,0,0,0,4,0,2,4,0,0,2,"Apr 2019",81,2,13,0,10
0,0,0,1,"5556",4,0,0,0,2739,0,5,0,1,0,0,0,0,1,1,1,0,0,0,"Apr 2019",21,1,5,0,1
0,0,0,1,"5558",0,0,0,1,2751,0,1,0,0,0,0,0,0,0,1,3,1,0,0,"Apr 2019",13,2,3,0,0
0,0,0,0,"5560",0,0,0,0,2761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
0,0,0,0,"5570",0,0,0,0,2771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
0,0,0,0,"5572",0,0,0,0,2786,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"Apr 2019",2,0,0,0,0
2,0,0,0,"5573",0,0,0,0,2796,0,0,1,0,0,0,0,2,0,1,0,0,0,0,"Apr 2019",11,0,2,0,3
0,0,0,0,"5575",2,0,0,0,2807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",5,0,0,0,3
1,0,0,0,"5576",0,0,0,0,2817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5577",0,0,0,0,2824,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5582",1,0,0,0,2840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5583",0,0,0,0,2849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",5,1,3,0,1
1,0,0,1,"5032",12,0,0,0,285,0,2,0,1,0,0,0,1,0,0,3,0,0,1,"Apr 2019",38,2,8,0,6
0,0,1,1,"5600",0,0,1,0,2859,1,0,0,0,0,0,0,2,0,1,1,0,0,0,"Apr 2019",15,1,2,0,4
0,0,0,0,"5601",0,0,0,0,2869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",3,0,2,0,1
0,0,0,1,"5602",0,0,0,0,2878,0,2,0,0,0,0,0,0,0,0,2,0,0,0,"Apr 2019",5,0,0,0,0
0,0,0,0,"5605",0,0,0,0,2893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
3,0,0,1,"5606",14,0,3,0,2903,1,8,7,6,3,0,0,4,1,2,5,0,0,0,"Apr 2019",100,2,16,0,24
0,0,0,0,"5607",1,0,0,0,2915,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",4,0,0,0,2
2,1,0,3,"5608",5,0,2,0,2927,4,17,7,15,0,0,0,10,1,7,3,2,0,0,"Apr 2019",157,6,17,0,55
0,0,0,0,"5609",0,0,0,0,2939,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",2,0,0,0,1
0,0,0,0,"5631",0,0,0,0,2952,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Apr 2019",2,0,1,0,0
0,0,0,0,"5633",0,0,0,0,2960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
0,0,0,0,"5640",0,0,0,0,2966,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Apr 2019",3,0,0,0,1
1,1,0,0,"5033",9,0,0,0,297,0,4,2,6,0,0,0,3,0,0,1,0,0,0,"Apr 2019",52,3,16,0,6
0,0,0,0,"5642",0,0,0,0,2980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
0,0,0,0,"5653",0,0,0,0,2992,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5654",1,0,0,0,2994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",2,0,1,0,0
0,0,0,0,"5655",0,0,0,0,2995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",2,0,2,0,0
0,0,0,0,"5670",0,0,0,0,3004,0,0,1,1,0,0,0,0,0,0,1,0,0,0,"Apr 2019",5,1,0,0,1
0,0,0,0,"5680",0,0,0,0,3016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Apr 2019",2,0,1,0,0
2,0,2,0,"5690",6,0,0,0,3028,1,3,5,4,0,0,0,8,0,1,1,0,0,0,"Apr 2019",48,5,3,0,7
8,1,3,3,"5700",1,0,1,0,3040,1,12,4,8,0,0,3,12,1,5,2,2,0,0,"Apr 2019",128,4,17,0,40
0,0,0,0,"5710",0,0,0,0,3053,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"Apr 2019",5,0,2,0,0
0,0,0,0,"5719",0,0,0,0,3067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
0,0,0,0,"5720",0,0,0,0,3072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
0,0,0,0,"5034",6,0,1,0,309,1,4,1,5,0,0,0,0,1,2,4,0,0,0,"Apr 2019",52,3,14,0,10
3,0,0,0,"5723",2,1,0,0,3090,0,4,2,2,0,0,0,3,0,2,0,1,0,0,"Apr 2019",24,0,1,0,3
1,0,0,0,"5724",0,0,0,0,3102,0,3,1,0,0,0,0,0,1,0,0,0,0,0,"Apr 2019",9,1,1,0,1
0,0,0,0,"5725",0,0,0,0,3114,0,1,4,0,0,0,0,2,0,0,0,0,0,0,"Apr 2019",19,3,5,0,4
0,0,0,0,"5731",0,0,0,0,3127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,0,0,1
0,0,0,0,"5950",0,0,1,0,3158,0,0,1,2,0,0,0,0,0,0,3,1,0,0,"Apr 2019",15,1,5,0,1
1,0,0,0,"5035",3,0,0,1,321,1,8,0,0,0,0,0,1,1,1,4,0,0,4,"Apr 2019",34,1,2,0,6
1,1,0,0,"5006",7,0,0,0,33,1,3,5,8,0,0,0,1,1,5,3,0,0,1,"Apr 2019",57,3,10,0,7
0,0,0,1,"5037",4,0,0,0,333,0,10,3,2,0,0,1,2,3,0,2,0,0,0,"Apr 2019",47,3,14,0,2
1,1,0,2,"5038",6,0,1,1,345,3,12,4,9,0,0,0,2,2,5,3,0,0,1,"Apr 2019",96,3,30,0,10
4,0,0,0,"5039",4,0,3,2,357,2,6,5,9,0,0,0,3,2,6,5,0,0,2,"Apr 2019",107,2,25,1,26
0,0,0,0,"5040",0,0,0,0,369,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Apr 2019",10,0,1,0,5
0,0,0,0,"5041",2,0,0,0,381,0,2,1,0,0,0,2,2,0,1,1,0,0,1,"Apr 2019",30,2,10,0,6
1,1,0,0,"5042",4,0,1,1,393,1,4,3,0,0,0,0,2,3,2,1,1,0,0,"Apr 2019",41,0,11,0,5
0,0,0,2,"5043",10,0,3,1,405,1,14,7,17,1,0,0,8,5,3,7,2,0,0,"Apr 2019",132,3,31,0,17
0,0,0,1,"5044",12,0,0,0,417,0,2,2,0,0,0,0,2,1,2,1,0,0,0,"Apr 2019",39,0,9,0,7
0,0,0,2,"5045",7,0,1,1,429,0,6,1,5,0,0,0,1,2,2,0,0,0,0,"Apr 2019",68,1,21,0,18
2,2,2,1,"5046",4,0,4,1,441,0,4,10,49,0,0,0,2,5,2,1,0,0,1,"Apr 2019",125,3,22,0,10
0,0,0,2,"5007",15,0,1,0,45,2,13,3,4,0,0,1,2,3,3,5,0,0,0,"Apr 2019",106,8,26,0,18
1,0,1,1,"5047",8,0,1,0,453,4,3,2,2,0,0,0,3,1,3,2,0,0,0,"Apr 2019",54,3,9,0,10
2,0,0,2,"5048",2,0,0,0,465,5,9,2,1,0,0,0,1,0,2,3,0,0,0,"Apr 2019",62,5,19,0,9
1,0,0,0,"5049",3,0,0,0,477,1,4,1,4,0,0,0,0,1,2,1,0,0,0,"Apr 2019",36,0,13,0,5
0,0,0,0,"5050",1,0,0,0,489,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"Apr 2019",5,1,0,0,1
0,0,0,0,"5051",2,0,0,0,501,4,3,0,0,0,0,0,1,0,0,1,0,0,0,"Apr 2019",22,0,7,0,4
1,0,0,0,"5052",5,0,0,0,513,0,3,0,0,0,0,0,0,0,0,1,0,0,0,"Apr 2019",11,0,0,0,1
0,0,0,0,"5061",8,0,0,1,525,0,5,5,7,1,0,0,0,4,2,1,2,0,1,"Apr 2019",54,2,11,0,4
1,0,0,0,"5062",6,0,0,0,537,0,11,2,7,0,0,0,1,1,0,1,0,0,0,"Apr 2019",57,1,22,0,4
1,0,0,0,"5063",2,0,0,0,549,0,4,2,2,0,0,0,0,2,2,1,1,0,1,"Apr 2019",35,1,13,0,3
0,0,0,0,"5064",3,0,0,0,561,0,3,1,4,2,0,0,1,0,0,3,0,0,1,"Apr 2019",41,1,19,1,2
2,0,2,2,"5008",9,0,0,1,57,0,18,2,5,0,0,0,4,1,4,7,1,0,1,"Apr 2019",106,4,24,0,19
0,0,0,1,"5065",3,0,1,0,573,0,5,0,5,0,0,0,2,0,3,1,0,0,0,"Apr 2019",43,2,13,0,7
0,0,0,0,"5066",2,0,0,0,585,0,4,2,0,0,0,0,0,0,1,0,0,0,0,"Apr 2019",14,1,2,0,2
0,0,0,0,"5067",12,0,0,0,597,1,3,3,10,0,0,0,3,2,4,0,1,0,1,"Apr 2019",58,0,9,0,9
0,0,0,0,"5068",4,0,0,0,609,0,2,0,2,0,0,0,0,1,3,0,0,0,0,"Apr 2019",32,0,10,0,10
0,0,0,0,"5069",10,0,0,0,621,0,0,3,8,0,0,0,1,0,0,2,0,0,0,"Apr 2019",40,3,11,0,2
1,0,0,1,"5070",25,0,0,0,633,3,12,2,3,1,0,0,4,2,4,6,0,0,1,"Apr 2019",82,1,9,0,7
1,0,0,0,"5072",5,0,0,1,645,1,3,0,1,0,0,0,1,2,0,1,0,0,1,"Apr 2019",23,1,2,0,3
0,1,0,1,"5073",3,0,0,1,657,0,6,1,3,0,0,0,1,2,1,3,0,0,0,"Apr 2019",41,0,15,0,3
1,0,0,0,"5074",11,0,1,0,669,0,4,0,1,0,0,0,1,0,4,2,0,0,0,"Apr 2019",41,2,9,0,5
1,0,0,0,"5075",4,0,0,0,681,0,3,1,0,0,0,0,4,1,0,2,1,0,0,"Apr 2019",26,0,7,0,2
0,0,0,0,"5009",6,0,0,1,69,0,1,1,5,0,0,0,1,1,3,0,0,0,0,"Apr 2019",33,1,7,0,6
0,0,0,0,"5076",0,0,0,0,693,0,2,0,0,0,0,0,0,1,1,1,0,0,0,"Apr 2019",12,0,6,0,1
0,0,0,2,"5081",8,0,3,0,705,0,13,4,3,1,0,0,0,4,0,4,0,0,0,"Apr 2019",64,3,11,0,8
1,0,0,0,"5082",5,0,0,0,717,0,14,3,22,1,0,0,3,3,2,5,0,0,0,"Apr 2019",90,2,18,0,11
1,0,0,0,"5083",9,0,1,1,729,1,3,2,15,0,0,0,1,0,2,2,0,0,1,"Apr 2019",59,0,14,0,6
7,0,0,1,"5084",13,0,2,0,741,2,12,12,20,0,0,0,5,5,6,3,0,0,0,"Apr 2019",137,1,33,0,15
3,1,0,1,"5085",25,0,0,1,753,0,13,6,9,0,0,0,11,5,3,2,1,0,3,"Apr 2019",128,5,20,0,19
5,0,0,7,"5086",12,0,1,1,765,0,9,1,6,0,0,0,2,3,1,1,0,0,0,"Apr 2019",76,2,11,0,14
0,0,0,0,"5087",9,0,2,0,777,0,8,5,1,1,0,0,4,1,2,4,1,0,0,"Apr 2019",69,1,15,0,15
0,0,0,0,"5088",2,0,0,0,789,1,5,0,3,0,0,0,0,1,1,3,1,0,0,"Apr 2019",26,0,6,0,3
1,0,0,0,"5089",2,0,1,0,801,1,1,3,0,0,0,1,0,0,0,0,0,0,0,"Apr 2019",14,1,2,0,1
1,0,0,1,"5010",8,0,0,0,81,0,7,3,1,0,0,0,2,1,2,2,0,0,0,"Apr 2019",43,0,6,0,9
0,0,0,0,"5090",1,0,1,0,813,0,2,3,1,0,0,0,0,0,0,4,0,0,0,"Apr 2019",26,1,10,0,3
0,0,0,1,"5091",3,0,0,0,825,0,2,3,0,0,0,0,2,0,4,0,0,0,0,"Apr 2019",25,1,4,0,5
1,0,0,1,"5092",11,0,1,0,837,1,5,7,22,1,0,0,5,3,3,5,0,0,1,"Apr 2019",90,1,11,0,11
0,3,0,2,"5093",3,0,0,0,849,0,3,1,1,0,0,0,1,0,1,1,0,0,0,"Apr 2019",28,3,5,0,4
2,0,0,0,"5094",4,0,0,0,861,2,0,3,11,0,0,0,1,4,7,4,0,0,0,"Apr 2019",62,1,15,0,8
1,0,0,0,"5095",18,1,0,0,873,1,10,5,14,0,0,0,6,2,5,8,0,0,0,"Apr 2019",125,4,31,0,19
2,0,2,0,"5096",3,0,2,0,885,0,7,6,8,0,0,1,3,2,1,1,1,0,2,"Apr 2019",84,4,27,0,12
1,0,0,0,"5097",1,0,0,0,897,1,5,0,3,0,0,0,1,0,1,4,0,0,0,"Apr 2019",23,1,3,0,2
3,0,0,3,"0872",0,0,0,0,9,0,10,1,0,0,0,0,2,0,13,0,2,0,0,"Apr 2019",45,2,0,0,9
1,0,0,0,"5098",6,0,0,0,909,2,3,2,6,1,0,0,8,1,3,1,1,0,1,"Apr 2019",55,0,7,0,12
0,0,0,0,"5106",0,0,0,0,921,0,0,1,3,0,0,0,0,0,0,1,0,0,0,"Apr 2019",11,0,3,0,3
1,0,1,1,"5011",13,0,2,0,93,1,10,1,9,0,0,1,4,2,9,6,2,0,0,"Apr 2019",110,3,27,0,17
1,0,0,3,"5107",8,0,0,1,933,0,12,3,5,1,0,1,11,3,7,2,0,0,3,"Apr 2019",91,4,9,0,17
9,1,1,5,"5108",19,0,2,2,945,2,20,14,52,2,0,1,19,19,2,15,1,1,6,"Apr 2019",294,4,60,0,37
4,0,1,0,"5109",6,0,1,0,957,1,13,9,6,0,0,0,3,1,3,4,0,0,0,"Apr 2019",80,1,16,0,11
0,0,0,0,"5110",5,0,0,3,969,0,2,0,11,0,0,0,2,2,2,1,0,0,0,"Apr 2019",72,1,39,0,4
0,0,0,2,"5111",1,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",4,0,0,0,1
6,2,2,2,"5112",19,0,2,1,992,3,20,27,28,1,0,2,25,14,4,7,1,0,5,"Apr 2019",254,2,48,0,33
